,artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,uris
101,Drake,Hotline Bling,0.891,0.625,2,-7.861,1,0.0558,0.00261,0.000176,0.0504,0.548,134.967,267067,spotify:track:1OAYKfE0YdrN7C1yLWaLJo
102,Drake,Digital Dash,0.881,0.566,2,-7.562,1,0.136,0.00378,6.83e-06,0.204,0.232,140.04,231231,spotify:track:0v0QJqLvo3tnqwYLdLqdza
103,Drake,Big Rings,0.807,0.666,8,-6.188,0,0.263,0.00295,0.0,0.227,0.274,131.994,217707,spotify:track:3dnM2j3WBCn2biJgiuxhnB
104,Drake,Live From The Gutter,0.828,0.482,7,-8.469,1,0.431,0.0429,7.8e-06,0.0807,0.281,165.946,211643,spotify:track:5XdFLE07JRgMk5LLSjjmAT
105,Drake,Diamonds Dancing,0.504,0.356,1,-10.84,1,0.0445,0.12,6.03e-05,0.107,0.169,136.028,314632,spotify:track:4HP4mKLUCZcoHlZAWvdhRN
106,Drake,Scholarships,0.556,0.406,0,-9.409,0,0.381,0.0828,4.29e-06,0.1,0.256,109.035,209288,spotify:track:6DGV9o1qFcx18O6uRIeCBM
107,Drake,Plastic Bag,0.844,0.47,1,-6.048,1,0.3,0.0079,2.82e-06,0.141,0.395,170.91,202085,spotify:track:3MTZYvIcZXwmc8tFrAr9bA
108,Drake,Im The Plug,0.829,0.554,0,-9.223,1,0.305,0.000285,0.00225,0.12,0.203,160.026,180000,spotify:track:67KJIWrUpIG3ONOpZpvVbR
109,Drake,Change Locations,0.813,0.328,0,-10.069,1,0.391,0.0201,4.96e-06,0.119,0.191,137.999,220862,spotify:track:1CEPBDQk2rU9bIBwcsXkOM
110,Drake,Jumpman,0.859,0.56,1,-7.249,1,0.201,0.0529,0.0,0.114,0.625,142.04,205879,spotify:track:6ApJN7sbsgAKwO29JbSLiK
111,Drake,Jersey,0.766,0.531,0,-10.899,0,0.272,0.528,0.000665,0.11,0.29,146.089,188703,spotify:track:6Dw7JdhiiMjx2gWrwfeFYL
112,Drake,30 for 30 Freestyle,0.622,0.599,4,-9.207,0,0.458,0.686,0.0,0.145,0.275,92.833,253935,spotify:track:1svrFSGhPdKaFFinZSoltt
113,Drake,Legend,0.712,0.563,1,-7.573,1,0.071,0.0269,0.0,0.0776,0.299,100.093,241853,spotify:track:1ID1QFSNNxi0hiZCNcwjUC
114,Drake,Energy,0.748,0.571,11,-7.916,1,0.478,0.38,0.0,0.534,0.553,172.105,181933,spotify:track:79XrkTOfV1AqySNjVlygpW
115,Drake,10 Bands,0.825,0.757,11,-3.687,0,0.384,0.262,1.72e-06,0.0762,0.89,172.938,177733,spotify:track:12d5QFwzh60IIHlsSnAvps
116,Drake,Know Yourself,0.733,0.412,11,-8.687,0,0.225,0.196,0.0,0.342,0.179,114.413,275840,spotify:track:5InOp6q2vvx0fShv3bzFLZ
117,Drake,No Tellin,0.823,0.467,0,-10.394,0,0.301,0.543,0.0,0.135,0.618,95.024,310933,spotify:track:2durxb17bXcmQJHSt8JAdO
118,Drake,Madonna,0.905,0.506,2,-8.598,1,0.0588,0.0149,3.56e-05,0.371,0.122,110.017,177840,spotify:track:4v7SAP4KD96BFLWiCd1vF0
119,Drake,6 God,0.859,0.623,2,-8.596,1,0.106,0.0248,0.0,0.125,0.482,105.45,180667,spotify:track:3a8tAZFJxlmBwOtrf5L1oC
120,Drake,Star67,0.521,0.392,3,-7.88,1,0.17,0.747,8.81e-06,0.198,0.166,91.938,294973,spotify:track:2mmUoyPxzbxehpfm1TpTRK
121,Drake,Preach,0.605,0.511,11,-8.094,0,0.475,0.165,8.95e-05,0.104,0.379,65.256,236973,spotify:track:1OHoBC4icbuNhpSxP400sv
122,Drake,Wednesday Night Interlude,0.321,0.466,9,-8.163,0,0.0512,0.729,7.63e-06,0.215,0.194,135.089,212280,spotify:track:6oLHyWvmk6bKrA91EIYZBp
123,Drake,Used To,0.926,0.427,10,-7.584,0,0.107,0.0703,0.00033,0.0818,0.305,96.023,268480,spotify:track:63p3Slj0shAFP0Q7dQetj5
124,Drake,6 Man,0.812,0.535,4,-9.306,1,0.449,0.217,0.0,0.114,0.321,78.974,167653,spotify:track:4kdfjhj9xNkYU0R8xlDy8k
125,Drake,Now & Forever,0.555,0.481,10,-7.419,0,0.0322,0.124,0.0,0.101,0.0981,107.806,281320,spotify:track:4zLOwx1yRJXWkHKt1XzF1p
126,Drake,Company,0.651,0.55,7,-8.216,1,0.0496,0.0403,0.0,0.165,0.119,107.571,252640,spotify:track:6ImxYXeLDQPIv4qo7bMhSk
127,Drake,You & The 6,0.574,0.476,3,-7.444,1,0.282,0.166,0.0,0.129,0.223,154.531,264907,spotify:track:2YaDRtIlQiZ5WDDB2YuEOC
128,Drake,Jungle,0.69,0.235,7,-8.651,1,0.0541,0.618,0.000144,0.107,0.378,99.906,320400,spotify:track:7JXZq0JgG2zTrSOAgY8VMC
129,Drake,6PM In New York,0.554,0.849,5,-4.154,1,0.25,0.107,0.0,0.155,0.386,128.428,283307,spotify:track:5mZJwWdxAOR4xUvSGZvvMU
130,Drake,Tuscan Leather,0.432,0.681,6,-5.4,1,0.437,0.114,0.0,0.236,0.296,77.793,366400,spotify:track:69gz9onZQNVw55cMQsaYii
131,Drake,Furthest Thing,0.485,0.78,9,-5.261,0,0.142,0.149,0.0,0.0568,0.267,136.972,267373,spotify:track:6s64FyS9n0XYbGMLH3LOWU
132,Drake,Started From the Bottom,0.794,0.523,8,-7.829,1,0.161,0.0331,0.0,0.156,0.56,86.307,174120,spotify:track:3dgQqOiQ9fCKVhNOedd2lf
133,Drake,Wu-Tang Forever,0.855,0.433,1,-8.447,0,0.15,0.0414,0.0,0.1,0.394,99.975,217600,spotify:track:1HnhCD1u0c4dHSMazmWGyM
134,Drake,Own It,0.652,0.345,8,-11.319,0,0.119,0.0437,3.59e-05,0.297,0.304,103.281,252053,spotify:track:3EJ9ZuqkL1kwgouugqsLu8
135,Drake,Worst Behavior,0.777,0.778,9,-6.349,1,0.136,0.156,1.08e-06,0.196,0.437,109.925,270200,spotify:track:3X37NtwadSS0RM20dh2IgP
136,Drake,From Time,0.737,0.494,1,-9.723,0,0.416,0.629,0.0,0.126,0.44,94.485,322160,spotify:track:2WC4sK0ryyysQhtDok9Ytr
137,Drake,Hold On Were Going Home,0.773,0.414,6,-7.436,0,0.0961,0.00411,3.37e-05,0.0733,0.289,99.993,227880,spotify:track:6jdOi5U5LBzQrc4c1VT983
138,Drake,Connect,0.685,0.489,6,-9.472,0,0.152,0.411,0.0,0.132,0.461,75.018,296400,spotify:track:1Sj81sMg37Hd4omn7Ow2qR
139,Drake,The Language,0.823,0.662,7,-8.426,1,0.318,0.0118,0.0,0.0805,0.533,120.117,224040,spotify:track:5dHpbFmZjWucrol0M7aNGU
140,Drake,305 To My City,0.519,0.487,4,-8.803,0,0.242,0.0515,0.0,0.15,0.126,112.281,255827,spotify:track:5wTRsfZKeaQnQn8JeW8QYQ
141,Drake,Too Much,0.668,0.565,6,-5.879,1,0.505,0.171,0.0,0.124,0.142,140.489,261867,spotify:track:5LnXWeA9tuWKI2C1H74iiJ
142,Drake,Pound Cake / Paris Morton Music 2,0.521,0.762,2,-6.746,1,0.529,0.138,1.11e-05,0.114,0.266,164.089,433800,spotify:track:4RI9eX7jNcdaQOJifn7t6z
143,Drake,Come Thru,0.472,0.468,3,-5.815,1,0.184,0.163,0.0,0.586,0.404,81.94,236360,spotify:track:5Ggfa9cpkpfp5D6Rg0Yyw1
144,Drake,All Me,0.668,0.515,1,-6.977,1,0.402,0.0703,0.0,0.223,0.425,122.014,271573,spotify:track:5ngydCLbzCEdtu8SEOXhPU
145,Drake,The Motion,0.676,0.717,11,-8.219,0,0.0869,0.29,0.000368,0.0974,0.558,157.628,241000,spotify:track:3t8pnImpBpOwxdtYBpKvA9
