,artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,uris
214,Young Thug,Pour It Up,0.816,0.626,2,-6.69,1,0.0447,0.0238,0.0,0.0901,0.148,120.004,271027,spotify:track:3ITlVFo3Do55Q9hBFYGySI
215,Young Thug,Stay Focused,0.743,0.508,5,-7.488,0,0.224,0.622,0.0,0.125,0.441,97.98,275677,spotify:track:0WFPUgTcCfBdCrEmfcYicD
216,Young Thug,MS. Jackson,0.886,0.537,8,-9.467,0,0.0935,0.00572,0.0,0.0899,0.41,132.03,260918,spotify:track:5NIbLzj2YVT7QGT8fPHxmA
217,Young Thug,Beat It,0.729,0.49,5,-8.342,0,0.0509,0.0983,0.0,0.102,0.458,101.895,263948,spotify:track:1QQasRIKWL2IaVqVL6q3Xl
218,Young Thug,Magnificent,0.787,0.478,10,-10.486,0,0.375,0.032,5.54e-05,0.655,0.333,137.947,203083,spotify:track:0dEUayTz9vtOX45ItCv21B
219,Young Thug,Pass Me The Lighter,0.843,0.47,1,-9.776,1,0.27,0.0907,0.0,0.107,0.295,123.024,218443,spotify:track:4bSW4Z6avCXU2EZ8TAwqyS
220,Young Thug,Till I Die,0.591,0.48,0,-10.114,1,0.295,0.0131,0.0,0.412,0.34,85.022,242972,spotify:track:4SUvbvPqvl4ng9MxlLXdpT
221,Future,No Cap,0.805,0.529,1,-6.795,1,0.0838,0.000949,1.32e-06,0.351,0.292,147.012,143981,spotify:track:3Ny6CJIcK6yxNhXhA2ZjLZ
222,Future,Three,0.725,0.686,5,-5.778,0,0.227,0.00727,0.0,0.0879,0.263,169.113,159400,spotify:track:6fFOUx5r6NJKDF5GceRfhf
223,Future,All da Smoke,0.892,0.589,0,-6.957,1,0.309,0.0284,8.24e-05,0.15,0.127,147.061,204707,spotify:track:6ZSqxCHduCcfMiP7Y9TUqV
224,Future,200,0.853,0.636,1,-6.764,1,0.243,0.0103,0.0,0.256,0.531,145.968,147042,spotify:track:1XACSopDG47bEcqB2iDByx
225,Future,Cruise Ship,0.795,0.729,0,-6.264,1,0.182,0.00962,0.0,0.125,0.203,150.074,166280,spotify:track:0FOz3oYvnhICjHgl5H4AW1
226,Future,Patek Water,0.875,0.552,6,-5.831,0,0.179,0.313,0.0,0.11,0.323,153.031,189240,spotify:track:3c4TcZLhD6RaP1nnQvD23x
227,Future,Feed Me Dope,0.842,0.679,8,-6.627,0,0.279,0.0102,0.0,0.157,0.6,75.019,166698,spotify:track:0VccDYa0axk2qzXRlYQhr2
228,Future,Drip on Me,0.84,0.624,8,-7.667,0,0.229,0.00311,3.92e-05,0.12,0.534,135.915,199747,spotify:track:5oyQQqzO0vXy9xuzGIYd9n
229,Future,Real Love,0.746,0.572,8,-6.282,1,0.0842,0.0215,0.000347,0.204,0.267,145.978,241893,spotify:track:3utsIRsrbgiNXQYN9qSt5F
230,Future,4 da Gang,0.675,0.483,2,-7.59,1,0.366,0.0633,0.0,0.168,0.147,146.571,187600,spotify:track:3eXC125WHofy0HEfSHweic
231,Future,Killed Before,0.683,0.674,7,-4.721,1,0.327,0.277,0.0,0.0927,0.319,158.138,220360,spotify:track:6L436wfljuRVK2LFIYIblH
232,Future,Mink Flow,0.486,0.545,6,-6.222,0,0.249,0.00333,0.0,0.115,0.253,158.225,179027,spotify:track:5peKIduL9YybcbTdCk93ap
233,Future,Group Home,0.557,0.593,5,-7.654,0,0.268,0.0593,8.05e-06,0.106,0.459,142.959,242081,spotify:track:1nHmwa1N9gihVuRv2GYKoa
234,Young Thug,Family Dont Matter (feat. Millie Go Lightly),0.63,0.436,7,-10.218,1,0.433,0.172,0.0,0.429,0.691,145.066,295267,spotify:track:445YTBOjx9kYThBepGA9au
235,Young Thug,Tomorrow Til Infinity (feat. Gunna),0.855,0.516,0,-6.972,1,0.0524,0.0261,2.74e-05,0.302,0.283,135.97,228307,spotify:track:6Zm6fxOVPzyArjrNPx9LRe
236,Young Thug,She Wanna Party (feat. Millie Go Lightly),0.578,0.5,10,-6.656,0,0.271,0.125,0.0,0.235,0.388,104.095,250587,spotify:track:3WL6yCfh0zw2MxVSWSe0G1
237,Young Thug,Daddys Birthday,0.845,0.37,4,-7.333,0,0.519,0.203,0.0,0.104,0.269,152.949,208920,spotify:track:347hgqCHnL4GfgVX5hZfNv
238,Young Thug,Do U Love Me,0.8,0.607,8,-8.399,1,0.251,0.0134,0.0,0.257,0.713,101.926,209573,spotify:track:0whCNZKidgBNhuPW41vYpg
239,Young Thug,Relationship (feat. Future),0.842,0.597,2,-6.336,1,0.0627,0.00252,0.0,0.124,0.298,145.992,215307,spotify:track:25oOaleife6E2MIKmFkPvg
240,Young Thug,You Said (feat. Quavo),0.577,0.557,8,-6.894,1,0.114,0.147,0.0,0.21,0.177,119.977,402067,spotify:track:1gUakci7HwPcImtp0i79N3
241,Young Thug,On Fire,0.773,0.422,2,-7.242,1,0.324,0.26,0.0,0.279,0.529,154.106,239800,spotify:track:07YlTLGFG2LsTkqGFwY5jC
242,Young Thug,Get High (feat. Snoop Dogg & Lil Durk),0.707,0.496,11,-8.035,0,0.213,0.0328,0.0,0.148,0.211,145.924,293933,spotify:track:1X4PsdScsMExfuNFPLNcTT
243,Young Thug,Feel It,0.721,0.513,7,-7.882,0,0.121,0.0959,0.0,0.341,0.31,124.02,236587,spotify:track:2BAmF6QyK5IYEOp1TFmt0u
244,Young Thug,Me or Us,0.682,0.251,5,-12.824,1,0.244,0.664,1.06e-05,0.144,0.419,80.041,157880,spotify:track:0JaN65P0DapRjboDEv2g08
245,Young Thug,Oh Yeah,0.555,0.418,11,-10.346,0,0.403,0.0905,0.0,0.177,0.248,106.285,229387,spotify:track:7FjxdLxJkOV5cHOrttx5Ft
246,Young Thug,For Yall (feat. Jacquees),0.69,0.511,9,-8.405,1,0.152,0.0277,0.0,0.112,0.589,139.996,219707,spotify:track:5e5LyZy3k83xTQKnerVrif
247,Young Thug,Take Care,0.718,0.675,0,-6.75,1,0.263,0.117,0.0,0.307,0.637,133.999,217373,spotify:track:1mB1N8BVAN3BeyOes2uj1E
248,Young Thug,Wyclef Jean,0.863,0.576,5,-5.687,0,0.239,0.124,0.0,0.143,0.832,132.054,236293,spotify:track:55OdqrG8WLmsYyY1jijD9b
249,Young Thug,Floyd Mayweather (feat. Travis Scott Gucci Mane and Gunna),0.891,0.491,8,-8.874,1,0.118,0.339,0.0,0.296,0.806,133.984,358507,spotify:track:5ALc7rbru6QOLGodVSDocc
250,Young Thug,Swizz Beatz,0.831,0.532,4,-7.047,0,0.338,0.245,0.000131,0.314,0.517,130.0,196467,spotify:track:539wfGOsGcRmT1IBVUfiJV
